fraction,score,type
0.2,0.8156810940795316,RF: 100 Trees
0.2,0.791384556801251,RF: 15 Trees
0.2,0.802025432757282,RF: 25 Trees
0.2,0.8116942207939156,RF: 50 Trees
0.2,0.8134034981967488,RF: 75 Trees
0.3,0.858902850478236,RF: 100 Trees
0.3,0.8384784598929229,RF: 15 Trees
0.3,0.848132272608377,RF: 25 Trees
0.3,0.8552802804705535,RF: 50 Trees
0.3,0.8555886730092629,RF: 75 Trees
0.4,0.8613727810442486,RF: 100 Trees
0.4,0.8456097162702578,RF: 15 Trees
0.4,0.8543076299165653,RF: 25 Trees
0.4,0.85949071989823,RF: 50 Trees
0.4,0.8600972166476653,RF: 75 Trees
0.5,0.8973595918710463,RF: 100 Trees
0.5,0.8830891895371057,RF: 15 Trees
0.5,0.8909150379110746,RF: 25 Trees
0.5,0.8926217486756617,RF: 50 Trees
0.5,0.8956326586056831,RF: 75 Trees
0.6,0.8887328080999577,RF: 100 Trees
0.6,0.8556205472908457,RF: 15 Trees
0.6,0.8625767899068123,RF: 25 Trees
0.6,0.8664511956998795,RF: 50 Trees
0.6,0.8696121538062425,RF: 75 Trees
0.7,0.9055161139233777,RF: 100 Trees
0.7,0.8908475353968037,RF: 15 Trees
0.7,0.8969389328070488,RF: 25 Trees
0.7,0.902739017499369,RF: 50 Trees
0.7,0.9057177785067867,RF: 75 Trees
0.8,0.9320559684307345,RF: 100 Trees
0.8,0.9209728903401923,RF: 15 Trees
0.8,0.9254753833423772,RF: 25 Trees
0.8,0.9300224033629185,RF: 50 Trees
0.8,0.931115433677433,RF: 75 Trees
0.9,0.895083562877561,RF: 100 Trees
0.9,0.8649455703888711,RF: 15 Trees
0.9,0.8720451097763317,RF: 25 Trees
0.9,0.8725822980064261,RF: 50 Trees
0.9,0.8740497943205512,RF: 75 Trees
1.0,0.9071123051234973,RF: 100 Trees
1.0,0.8978005260547803,RF: 15 Trees
1.0,0.9005097820054959,RF: 25 Trees
1.0,0.9043118830459738,RF: 50 Trees
1.0,0.9064651382854594,RF: 75 Trees
